  160 -0.0799 -0.1615 -0.1869  2.5582 -0.0962 -0.0932  1.1176  2.0982 -0.0541  4.1463  2.4781  0.1999 -0.2183  1.5463 -2.3788  2.9398  1.6867 -2.1674
  170 -0.0568 -0.2157 -0.3188  2.7110 -0.0912 -0.1330  1.1238  2.1600 -0.0245  4.0337  2.4287  0.3383 -0.1008  1.4772 -2.4421  2.7432  1.7143 -2.0764
  180 -0.0470 -0.2309 -0.4222  2.8458 -0.0278 -0.1721  1.1852  2.3034 -0.0023  3.8884  2.3825  0.4059  0.0009  1.4417 -2.4504  2.5175  1.7119 -2.0087
  190 -0.0345 -0.1896 -0.4767  2.9078  0.0560 -0.1933  1.2518  2.4648  0.0213  3.7795  2.3776  0.3882  0.0355  1.4560 -2.4021  2.3649  1.6844 -1.9974
  200 -0.0045 -0.0953 -0.4658  2.8786  0.1198 -0.1856  1.2874  2.5755  0.0523  3.7595  2.4187  0.2960  0.0083  1.5171 -2.3137  2.3423  1.6326 -2.0674
  210  0.0473  0.0196 -0.3829  2.7789  0.1372 -0.1428  1.2918  2.5986  0.0894  3.8332  2.4776  0.1596 -0.0370  1.6042 -2.2171  2.4432  1.5674 -2.1977
  220  0.1089  0.1086 -0.2374  2.6573  0.1039 -0.0671  1.2970  2.5448  0.1205  3.9583  2.5121  0.0129 -0.0511  1.6816 -2.1493  2.6114  1.5126 -2.3322
  230  0.1564  0.1378 -0.0542  2.5729  0.0376  0.0224  1.3432  2.4596  0.1239  4.0739  2.4946 -0.1199 -0.0058  1.7124 -2.1380  2.7736  1.4907 -2.4147
  240  0.1700  0.1046  0.1323  2.5668 -0.0328  0.0923  1.4430  2.3910  0.0802  4.1399  2.4307 -0.2262  0.0918  1.6911 -2.1744  2.8789  1.5123 -2.4107
  250  0.1468  0.0408  0.2838  2.6370 -0.0809  0.1169  1.5640  2.3612 -0.0085  4.1601  2.3553 -0.2981  0.2050  1.6406 -2.2183  2.9178  1.5611 -2.3337
  260  0.1020 -0.0044  0.3676  2.7414 -0.0941  0.0988  1.6480  2.3577 -0.1117  4.1745  2.3042 -0.3263  0.2830  1.5904 -2.2282  2.9133  1.6031 -2.2349
  270  0.0563  0.0029  0.3679  2.8299 -0.0753  0.0653  1.6521  2.3509 -0.1871  4.2240  2.2884 -0.3032  0.2820  1.5578 -2.1928  2.8961  1.6118 -2.1694
  280  0.0209  0.0555  0.2961  2.8757 -0.0355  0.0447  1.5787  2.3210 -0.2075  4.3127  2.2931 -0.2284  0.1916  1.5402 -2.1316  2.8829  1.5829 -2.1692
  290 -0.0061  0.1076  0.1883  2.8825  0.0139  0.0461  1.4741  2.2750 -0.1720  4.3998  2.2939 -0.1149  0.0425  1.5300 -2.0839  2.8707  1.5334 -2.2282
  300 -0.0290  0.1093  0.0850  2.8711  0.0631  0.0564  1.3963  2.2414 -0.1018  4.4270  2.2755  0.0088 -0.1144  1.5248 -2.0870  2.8439  1.4908 -2.3032
  310 -0.0447  0.0447  0.0089  2.8604  0.1012  0.0504  1.3737  2.2446 -0.0280  4.3622  2.2419  0.1028 -0.2274  1.5269 -2.1533  2.7907  1.4798 -2.3470
  320 -0.0449 -0.0534 -0.0427  2.8535  0.1156  0.0084  1.3843  2.2828  0.0231  4.2262  2.2160  0.1291 -0.2612  1.5394 -2.2570  2.7174  1.5105 -2.3338
  330 -0.0265 -0.1239 -0.0879  2.8381  0.0954 -0.0698  1.3781  2.3297  0.0408  4.0816  2.2252  0.0730 -0.2103  1.5571 -2.3493  2.6478  1.5672 -2.2768
  340  0.0017 -0.1159 -0.1403  2.7982  0.0395 -0.1626  1.3233  2.3556  0.0326  3.9896  2.2820 -0.0439 -0.1018  1.5715 -2.3839  2.6060  1.6179 -2.2122
  350  0.0236 -0.0264 -0.1940  2.7279 -0.0391 -0.2376  1.2370  2.3496  0.0139  3.9697  2.3718 -0.1726  0.0184  1.5768 -2.3553  2.5996  1.6359 -2.1786
  360  0.0239  0.0919 -0.2286  2.6397 -0.1185 -0.2680  1.1756  2.3293 -0.0047  3.9938  2.4603 -0.2634  0.1090  1.5784 -2.3014  2.6223  1.6141 -2.2001
  370 -0.0031  0.1646 -0.2271  2.5622 -0.1752 -0.2434  1.1964  2.3289 -0.0247  4.0123  2.5094 -0.2876  0.1480  1.5937 -2.2697  2.6604  1.5668 -2.2710
  380 -0.0473  0.1473 -0.1874  2.5237 -0.1889 -0.1721  1.3125  2.3691 -0.0550  3.9907  2.4970 -0.2442  0.1336  1.6348 -2.2760  2.6960  1.5185 -2.3498
  390 -0.0847  0.0525 -0.1205  2.5325 -0.1494 -0.0760  1.4736  2.4350 -0.1023  3.9318  2.4284 -0.1532  0.0800  1.6934 -2.3051  2.7095  1.4878 -2.3838
